Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
Albert Camus		Blessed are the hearts that can bend; they shall never be broken.
Albert Camus		Autumn is a second spring when every leaf is a flower.
Albert Camus	L'Étranger	I opened myself to the gentle indifference of the world.
Albert Camus		An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. "Can they be brought together?" This is a practical question. We must get down to it. "I despise intelligence" really means: "I cannot bear my doubts.
Albert Camus		Fiction is the lie through which we tell the truth.
Albert Camus	A Happy Death	When I look at my life and its secret colours, I feel like bursting into tears.
Albert Camus	Notebooks 1935-1942	Real generosity towards the future lies in giving all to the present.
Albert Camus		To be happy, we must not be too concerned with others.
Albert Camus		The purpose of a writer is to keep civilization from destroying itself.
Albert Camus	The Myth of Sisyphus and Other Essays	In order to understand the world, one has to turn away from it on occasion."[The Minotaur]
Albert Camus	The Fall	I used to advertise my loyalty and I don't believe there is a single person I loved that I didn't eventually betray.
Albert Camus		Always go too far, because that's where you'll find the truth
Albert Camus	The First Man	When the soul suffers too much, it develops a taste for misfortune.
Albert Camus		At the heart of all beauty lies something inhuman.
Albert Camus	L’été	O light! This is the cry of all the characters of ancient drama brought face to face with their fate. This last resort was ours, too, and I knew it now. In the middle of winter I at last discovered that there was in me an invincible summer.
Albert Camus	L'Étranger	I had only a little time left and I didn't want to waste it on God.
Albert Camus		I leave Sisyphus at the foot of the mountain. One always finds one's burden again. But Sisyphus teaches the higher fidelity that negates the gods and raises rocks. He too concludes that all is well. This universe henceforth without a master seems to him neither sterile nor futile. Each atom of that stone, each mineral flake of that night-filled mountain, in itself, forms a world. The struggle itself toward the heights is enough to fill a man's heart. One must imagine Sisyphus happy.
Albert Camus	Notebooks 1951-1959	I do not believe in God and I am not an atheist.
Marcel Proust		Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.
Marcel Proust		The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.
Marcel Proust	Swann’s Way	Always try to keep a patch of sky above your life.
Marcel Proust		Remembrance of things past is not necessarily the remembrance of things as they were.
Marcel Proust	Time Regained	Every reader, as he reads, is actually the reader of himself. The writer's work is only a kind of optical instrument he provides the reader so he can discern what he might never have seen in himself without this book. The reader's recognition in himself of what the book says is the proof of the book's truth.
Marcel Proust		Happiness is beneficial for the body, but it is grief that develops the powers of the mind.
Marcel Proust	In Search of Lost Time	Love is a striking example of how little reality means to us.
Marcel Proust	The Captive / The Fugitive	Let us leave pretty women to men with no imagination.
Marcel Proust		My destination is no longer a place, rather a new way of seeing.
Marcel Proust		We don't receive wisdom; we must discover it for ourselves after a journey that no one can take for us or spare us.
Proust-M		Reading is that fruitful miracle of a communication in the midst of solitude.
Marcel Proust		We are healed of a suffering only by experiencing it to the full.
Marcel Proust		The true paradises are the paradises that we have lost.
Marcel Proust	Remembrance of Things Past Volumes 1-3 Box Set	If a little dreaming is dangerous, the cure for it is not to dream less, but to dream more, to dream all the time.
Marcel Proust		It comes so soon, the moment when there is nothing left to wait for.
Marcel Proust		Like many intellectuals, he was incapable of saying a simple thing in a simple way
Marcel Proust		Desire makes everything blossom; possession makes everything wither and fade.
Marcel Proust		People do not die for us immediately, but remain bathed in a sort of aura of life which bears no relation to true immortality but through which they continue to occupy our thoughts in the same way as when they were alive. It is as though they were traveling abroad.
Marcel Proust		Now there is one thing I can tell you: you will enjoy certain pleasures you would not fathom now. When you still had your mother you often thought of the days when you would have her no longer. Now you will often think of days past when you had her. When you are used to this horrible thing that they will forever be cast into the past, then you will gently feel her revive, returning to take her place, her entire place, beside you. At the present time, this is not yet possible. Let yourself be inert, wait till the incomprehensible power ... that has broken you restores you a little, I say a little, for henceforth you will always keep something broken about you. Tell yourself this, too, for it is a kind of pleasure to know that you will never love less, that you will never be consoled, that you will constantly remember more and more.
Marcel Proust	Days of Reading	There are perhaps no days of our childhood we lived so fully as those we believe we left without having lived them, those we spent with a favorite book.
Marcel Proust		Time, which changes people, does not alter the image we have of them.
Marcel Proust		Everything great in the world is done by neurotics; they alone founded our religions and created our masterpieces.
Marcel Proust		Thanks to art, instead of seeing one world only, our own, we see that world multiply itself and we have at our disposal as many worlds as there are original artists, worlds more different one from the other than those which revolve in infinite space, worlds which, centuries after the extinction of the fire from which their light first emanated, whether it is called Rembrandt or Vermeer, send us still each one its special radiance.
Marcel Proust		We do not receive wisdom, we must discover it for ourselves, after a journey through the wilderness which no one else can make for us, which no one can spare us, for our wisdom is the point of view from which we come at last to regard the world. The lives that you admire, the attitudes that seem noble to you, have not been shaped by a paterfamilias or a schoolmaster, they have sprung from very different beginnings, having been influenced by evil or commonplace that prevailed round them. They represent a struggle and a victory.
Marcel Proust		It is often hard to bear the tears that we ourselves have caused.
Marcel Proust	In Search of Lost Time	The bonds between ourselves and another person exists only in our minds. Memory as it grows fainter loosens them, and notwithstanding the illusion by which we want to be duped and which, out of love, friendship, politeness, deference, duty, we dupe other people, we exist alone. Man is the creature who cannot escape from himself, who knows other people only in himself, and when he asserts the contrary, he is lying.
Marcel Proust	Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain	Love is not vain because it is frustrated, but because it is fulfilled. The people we love turn to ashes when we posess them.
Marcel Proust	Swann’s Way	The thirst for something other than what we have…to bring something new, even if it is worse, some emotion, some sorrow; when our sensibility, which happiness has silenced like an idle harp, wants to resonate under some hand, even a rough one, and even if it might be broken by it.
Marcel Proust	Swann’s Way	Now are the woods all black,But still the sky is blue.
Marcel Proust		People who are not in love fail to understand how an intelligent man can suffer because of a very ordinary woman. This is like being surprised that anyone should be stricken with cholera because of a creature so insignificant as the common bacillus.
Marcel Proust		There is no one, no matter how wise he is, who has not in his youth saidthings or done things that are so unpleasant to recall in later life thathe would expunge them entirely from his memory if that were possible.
Marcel Proust	In Search of Lost Time	But sometimes illumination comes to our rescue at the very moment when all seems lost; we have knocked at every door and they open on nothing until, at last, we stumble unconsciously against the only one through which we can enter the kingdom we have sought in vain a hundred years - and it opens.
Marcel Proust	Swann’s Way	The places we have known do not belong solely to the world of space in which we situate them for our greater convenience. They were only a thin slice among contiguous impressions which formed our life at that time; the memory of a certain image is but regret for a certain moment; and houses, roads, avenues are as fleeting, alas, as the years.
Marcel Proust	In the Shadow of Young Girls in Flower	If we are to make reality endurable, we must all nourish a fantasy or two.
Marcel Proust		Love is space and time measured by the heart.
Marcel Proust	Swann’s Way	In his younger days a man dreams of possessing the heart of the woman whom he loves; later, the feeling that he possesses the heart of a woman may be enough to make him fall in love with her.
Marcel Proust	Swann’s Way	One cannot change, that is to say become a different person, while continuing to acquiesce to the feelings of the person one has ceased to be.
Marcel Proust		It is our imagination that is responsible for love, not the other person.
Marcel Proust	In the Shadow of Young Girls in Flower	Pleasures are like photographs: in the presence of the person we love, we take only negatives, which we develop later, at home, when we have at our disposal once more our inner dark room, the door of which it is strictly forbidden to open while others are present.
Marcel Proust	Within a Budding Grove	No doubt very few people understand the purely subjective nature of the phenomenon that we call love, or how it creates, so to speak, a supplementary person, distinct from the person whom the world knows by the same name, a person most of whose constituent elements are derived from ourselves.
Marcel Proust	In the Shadow of Young Girls in Flower	All our final decisions are made in a state of mind that is not going to last.
Marcel Proust	In Search of Lost Time	...the memory of a particular image is but regret for a particular moment..
Marcel Proust		I think that life would suddenly seem wonderful to us if we were threatened to die as you say. Just think of how many projects, travels, love affairs, studies, it–our life–hides from us, made invisible by our laziness which, certain of a future, delays them incessantly.‘But let all this threaten to become impossible for ever, how beautiful it would become again! Ah! If only the cataclysm doesn’t happen this time, we won’t miss visiting the new galleries of the Louvre, throwing ourselves at the feet of Miss X, making a trip to India.‘The cataclysm doesn’t happen, we don’t do any of it, because we find ourselves back in the heart of normal life, where negligence deadens desire. And yet we shouldn’t have needed the cataclysm to love life today. It would have been enough to think that we are humans, and that death may come this evening.
Proust Marcel		The only true voyage, the only bath in the Fountain of Youth, would be not to visit strange lands but to possess other eyes, to see the universe through the eyes of another, of a hundred others, to see the hundred universes that each of them sees.
Marcel Proust	Remembrance of Things Past: Volume I - Swann's Way & Within a Budding Grove	There is no man...however wise, who has not at some period in his youth said things, or lived a life, the memory of which is so unpleasant to him that he would gladly expunge it. And yet he ought not entirely to regret it, because he cannot be certain that he has indeed become a wise man...
Marcel Proust	Time Regained	Every reader finds himself. The writer's work is merely a kind of optical instrument that makes it possible for the reader to discern what, without this book, he would perhaps never have seen in himself.
Marcel Proust	Within a Budding Grove	I wished to see storms only on those coasts where they raged with most violence...
Marcel Proust	Swann’s Way	Even in the most insignificant details of our daily life, none of us can be said to constitute a material whole, which is identical for everyone, and need only be turned up like a page in an account-book or the record of a will; our social personality is created by the thoughts of other people.
Marcel Proust	In Search of Lost Time	We believe that we can change the things around us in accordance with our desires—we believe it because otherwise we can see no favourable outcome. We do not think of the outcome which generally comes to pass and is also favourable: we do not succeed in changing things in accordance with our desires, but gradually our desires change. The situation that we hoped to change because it was intolerable becomes unimportant to us. We have failed to surmount the obstacle, as we were absolutely determined to do, but life has taken us round it, led us beyond it, and then if we turn round to gaze into the distance of the past, we can barely see it, so imperceptible has it become.
Marcel Proust		Perhaps it is not-being that is the true state, and all our dream of life is inexistent; but, if so, we feel that these phrases of music, these conceptions which exist in relation to our dream, must be nothing either. We shall perish, but we have as hostages these divine captives who will follow and share our fate. And death in their company is somehow less bitter, less inglorious, perhaps even less probable.
Marcel Proust	Swann’s Way	Many years have passed since that night. The wall of the staircase up which I had watched the light of his candle gradually climb was long ago demolished. And in myself, too, many things have perished which I imagined would last for ever, and new ones have arisen, giving birth to new sorrows and new joys which in those days I could not have foreseen, just as now the old are hard to understand.
Marcel Proust	Within a Budding Grove	Our desires cut across one another, and in this confused existence it is rare for happiness to coincide with the desire that clamoured for it.
Marcel Proust		The only true paradise is paradise lost
Marcel Proust		Mystery is not about traveling to new places but about looking with new eyes.
Marcel Proust	Remembrance of Things Past: Volume I - Swann's Way & Within a Budding Grove	Nine tenths of the ills from which intelligent people suffer spring from their intellect.
Marcel Proust		Dear Friend: I have nearly died three times since morning.
Marcel Proust		To be an artist is to fail, as no other dare to fail... failure is his world and the shrink from it desertion
Marcel Proust		Happiness serves hardly any other purpose than to make unhappiness possible.
Marcel Proust	Remembrance of Things Past: Volume I - Swann's Way & Within a Budding Grove	We are all of us obliged, if we are to make reality endurable, to nurse a few little follies in ourselves.
Marcel Proust	Within a Budding Grove	The bonds that unite us to another human being are sanctified when he or she adopts the same point of view as ourselves in judging one of our imperfections.
Fernando Pessoa	The Book of Disquiet	Literature is the most agreeable way of ignoring life.
Fernando Pessoa		The feelings that hurt most, the emotions that sting most, are those that are absurd - The longing for impossible things, precisely because they are impossible; nostalgia for what never was; the desire for what could have been; regret over not being someone else; dissatisfaction with the world’s existence. All these half-tones of the soul’s consciousness create in us a painful landscape, an eternal sunset of what we are.
Fernando Pessoa	The Book of Disquiet	My past is everything I failed to be.
Fernando Pessoa	The Book of Disquiet	I'd woken up early, and I took a long time getting ready to exist.
Fernando Pessoa	The Book of Disquiet	My soul is impatient with itself, as with a bothersome child; its restlessness keeps growing and is forever the same. Everything interests me, but nothing holds me. I attend to everything, dreaming all the while. […]. I'm two, and both keep their distance — Siamese twins that aren't attached.
Fernando Pessoa		No intelligent idea can gain general acceptance unless some stupidity is mixed in with it
Fernando Pessoa	The Book of Disquiet	There are ships sailing to many ports, but not a single one goes where life is not painful.
Fernando Pessoa	The Book of Disquiet	We never love anyone. What we love is the idea we have of someone. It's our own concept—our own selves—that we love.
Fernando Pessoa	The Book of Disquiet	I've always rejected being understood. To be understood is to prostitute oneself. I prefer to be taken seriously for what I'm not, remaining humanly unknown, with naturalness and all due respect
Fernando Pessoa	The Book of Disquiet	I wasn’t meant for reality, but life came and found me.
Fernando Pessoa		In order to understand, I destroyed myself.
Fernando Pessoa	The Book of Disquiet	I suffer from life and from other people. I can’t look at reality face to face. Even the sun discourages and depresses me. Only at night and all alone, withdrawn, forgotten and lost, with no connection to anything real or useful — only then do I find myself and feel comforted.
Fernando Pessoa		I am nothing.I'll never be anything.I couldn't want to be something.Apart from that, I have in me all the dreams in the world.
Fernando Pessoa	The Book of Disquiet	My soul is a hidden orchestra; I know not what instruments, what fiddlestrings and harps, drums and tamboura I sound and clash inside myself. All I hear is the symphony.
Fernando Pessoa	The Book of Disquiet	I feel as if I'm always on the verge of waking up.
Fernando Pessoa		I bear the wounds of all the battles I avoided.
Fernando Pessoa	The Book of Disquiet	I've never done anything but dream. This, and this alone, has been the meaning of my life. My only real concern has been my inner life.
Fernando Pessoa	The Book of Disquiet	We worship perfection because we can't have it; if we had it, we would reject it. Perfection is inhuman, because humanity is imperfect.
Fernando Pessoa	The Book of Disquiet	Everything around me is evaporating. My whole life, my memories, my imagination and its contents, my personality - it's all evaporating. I continuously feel that I was someone else, that I felt something else, that I thought something else. What I'm attending here is a show with another set. And the show I'm attending is myself.
Fernando Pessoa	Poems of Fernando Pessoa	To be great, be whole;Exclude nothing, exaggerate nothing that is not you.Be whole in everything. Put all you areInto the smallest thing you do.So, in each lake, the moon shines with splendorBecause it blooms up above.
Fernando Pessoa	The Book of Disquiet	I’ve dreamed a lot. I’m tired now from dreaming but not tired of dreaming. No one tires of dreaming, because to dream is to forget, and forgetting does not weigh on us, it is a dreamless sleep throughout which we remain awake. In dreams I have achieved everything.
Fernando Pessoa		When all by myself, I can think of all kinds of clever remarks, quick comebacks to what no one said, and flashes of witty sociability with nobody. But all of this vanishes when I face someone in the flesh: I lose my intelligence, I can no longer speak, and after half an hour I just feel tired. Talking to people makes me feel like sleeping. Only my ghostly and imaginary friends, only the conversations I have in my dreams, are genuinely real and substantial.
Fernando Pessoa		The value of things is not the time they last, but the intensity with which they occur. That is why there are unforgettable moments and unique people!
Fernando Pessoa	The Book of Disquiet	If I write what I feel, it's to reduce the fever of feeling. What I confess is unimportant, because everything is unimportant.
Fernando Pessoa	The Book of Disquiet	I've always been an ironic dreamer, unfaithful to my inner promises.Like a complete outsider, a casual observer of whom I thought I was,I've always enjoyed watching my daydreams go down in defeat.I was never convinced of what I believed in.I filled my hands with sand, called it gold, and opened them up to let it slide through.Words were my only truth.When the right words were said, all was done; the rest was the sand that had always been.
Fernando Pessoa	The Book of Disquiet	Man shouldn’t be able to see his own face--there’s nothing more sinister. Nature gave him the gift of not being able to see it, and of not being able to stare into his own eyes.Only in the water of rivers and ponds could he look at his face. And the very posture he had to assume was symbolic. He had to bend over, stoop down, to commit the ignominy of beholding himself.The inventor of the mirror poisoned the human heart.
Fernando Pessoa	The Book of Disquiet	Ah, it's my longing for whom I might have been that distracts and torments me!
Fernando Pessoa	The Book of Disquiet	To know nothing about yourself is to live. To know yourself badly is to think.
Fernando Pessoa	Poems of Fernando Pessoa	If after I die, people want to write my biography, there is nothing simpler. They only need two dates: the date of my birth and the date of my death. Between one and another, every day is mine.
Fernando Pessoa	The Book of Disquiet	I'm sick of everything, and of the everythingness of everything.
Fernando Pessoa	The Book of Disquiet	Life is an experimental journey undertaken involuntarily. It is a journey of the spirit through the material world and, since it is the spirit that travels, it is the spirit that is experienced. That is why there exist contemplative souls who have lived more intensely, more widely, more tumultuously than others who have lived their lives purely externally.
Fernando Pessoa		We all have two lives: The true, the one we dreamed of in childhood And go on dreaming of as adults in a substratum of mist; the false, the one we love when we live with others, the practical, the useful, the one we end up by being put in a coffin.
Pessoa Fernando	The Book of Disquiet	There are metaphors more real than the people who walk in the street. There are images tucked away in books that live more vividly than many men and women. There are phrases from literary works that have a positively human personality. There are passages from my own writing that chill me with fright, so distinctly do I feel them as people, so sharply outlined do they appear against the walls of my room, at night, in shadows... I've written sentences whose sound, read out loud or silently (impossible to hide their sound), can only be of something that acquired absolute exteriority and a full-fledged soul.
Fernando Pessoa	Libro del desasosiego	To have opinions is to sell out to youself. To have no opinions is to exist. To have every opinion is to be a poet.
Fernando Pessoa	The Book of Disquiet	To write is to forget. Literature is the most agreeable way of ignoring life. Music soothes, the visual arts exhilarates, the performing arts (such as acting and dance) entertain. Literature, however, retreats from life by turning in into slumber. The other arts make no such retreat— some because they use visible and hence vital formulas, others because they live from human life itself.This isn't the case with literature. Literature simulates life. A novel is a story of what never was, a play is a novel without narration. A poem is the expression of ideas or feelings a language no one uses, because no one talks in verse.
Fernando Pessoa		I'm astounded whenever I finish something. Astounded and distressed. My perfectionist instinct should inhibit me from finishing: it should inhibit me from even beginning. But I get distracted and start doing something. What I achieve is not the product of an act of my will but of my will's surrender. I begin because I don't have the strength to think; I finish because I don't have the courage to quit. This book is my cowardice.
Fernando Pessoa	The Book of Disquiet	I asked for very little from life, and even this little was denied me. A nearby field, a ray of sunlight, a little bit of calm along with a bit of bread, not to feel oppressed by the knowledge that I exist, not to demand anything from others, and not to have others demand anything from me - this was denied me, like the spare change we might deny a beggar not because we're mean-hearted but because we don't feel like unbuttoning our coat.
Fernando Pessoa	The Book of Disquiet	The essence of what I desire is simply this: to sleep away life.
Fernando Pessoa	The Book of Disquiet	Life is what we make of it. Travel is the traveler. What we see isn't what we see but what we are.
Fernando Pessoa	The Book of Disquiet	Friends: not one. Just a few acquaintances who imagine they feel something for me and who might be sorry if a train ran over me and the funeral was on a rainy day.
Fernando Pessoa	The Book of Disquiet	I don't know what I feel or what I want to feel. I don't know what to think or what I am.
Fernando Pessoa	The Book of Disquiet	Today, suddenly, I reached an absurd but unerring conclusion. In a moment of enlightenment, I realized that I'm nobody, absolutely nobody. When the lightning flashed, I saw that what I had thought to be a city was in fact a deserted plain and, in the same sinister light that revealed me to myself, there seemed to be no sky above it. I was robbed of any possibility of having existed before the world. If I was ever reincarnated, I must have done so without myself, without a self to reincarnate.I am the outskirts of some non-existent town, the long-winded prologue to an unwritten book. I'm nobody, nobody. I don't know how to feel or think or love. I'm a character in a novel as yet unwritten, hovering in the air and undone before I've even existed, amongst the dreams of someone who never quite managed to breathe life into me.I'm always thinking, always feeling, but my thoughts lack all reason, my emotions all feeling. I'm falling through a trapdoor, through infinite, infinitous space, in a directionless, empty fall. My soul is a black maelstrom, a great madness spinning about a vacuum, the swirling of a vast ocean around a hole in the void, and in the waters, more like whirlwinds than waters, float images of all I ever saw or heard in the world: houses, faces, books, boxes, snatches of music and fragments of voices, all caught up in a sinister, bottomless whirlpool.And I, I myself, am the centre that exists only because the geometry of the abyss demands it; I am the nothing around which all this spins, I exist so that it can spin, I am a centre that exists only because every circle has one. I, I myself, am the well in which the walls have fallen away to leave only viscous slime. I am the centre of everything surrounded by the great nothing.And it is as if hell itself were laughing within me but, instead of the human touch of diabolical laughter, there's the mad croak of the dead universe, the circling cadaver of physical space, the end of all worlds drifting blackly in the wind, misshapen, anachronistic, without the God who created it, without God himself who spins in the dark of darks, impossible, unique, everything.If only I could think! If only I could feel!
Fernando Pessoa		The inventor of the mirror poisoned the human heart.
Fernando Pessoa	The Book of Disquiet	Being tired of all illusions and of everything about illusions – the loss of illusions, the uselessness of having them, the prefatigue of having to have them in order to lose them, the sadness of having had them, the intellectual shame of having had them knowing that they would have to end this way.
Fernando Pessoa	Poems of Fernando Pessoa	But I am not perfect in my way of putting thingsBecause I lack the divine simplicityOf being only what I appear to be.
Fernando Pessoa	The Book of Disquiet	Freedom is the possibility of isolation. You are free if you can withdraw from people, not having to seek them out for the sake of money, company, love, glory or curiosity, none of which can thrive in silence and solitude. If you can't live alone, you were born a slave. You may have all the splendours of the mind and the soul, in which case you're a noble slave, or an intelligent servant, but you're not free. And you can't hold this up as your own tragedy, for your birth is a tragedy of Fate alone. Hapless you are, however, if life itself so oppresses you that you're forced to become a slave. Hapless you are if, having been born free, with the capacity to be isolated and self-sufficient, poverty should force you to live with others.
Fernando Pessoa		We are two abysses - a well staring at the sky.
Fernando Pessoa		I’m losing my taste for everything, including even my taste for finding everything tasteless.
Fernando Pessoa	The Book of Disquiet	I carry my awareness of defeat like a banner of victory.
Fernando Pessoa		There are no norms. All people are exceptions to a rule that doesn’t exist.
Fernando Pessoa		Masquerades disclose the reality of souls. As long as no one sees who we are, we can tell the most intimate details of our life. I sometimes muse over this sketch of a story about a man afflicted by one of those personal tragedies born of extreme shyness who one day, while wearing a mask I don’t know where, told another mask all the most personal, most secret, most unthinkable things that could be told about his tragic and serene life. And since no outward detail would give him away, he having disguised even his voice, and since he didn’t take careful note of whoever had listened to him, he could enjoy the ample sensation of knowing that somewhere in the world there was someone who knew him as not even his closest and finest friend did. When he walked down the street he would ask himself if this person, or that one, or that person over there might not be the one to whom he’d once, wearing a mask, told his most private life. Thus would be born in him a new interest in each person, since each person might be his only, unknown confidant.
Fernando Pessoa	The Book of Disquiet	But do we really live? To live without knowing what life is - is that living?
Fernando Pessoa	Poems of Fernando Pessoa	To be understood is to prostitute oneself
Fernando Pessoa	The Book of Disquiet	Having never discovered qualities in myself that might attract someone else, I could never believe that anyone felt attracted to me.
Fernando Pessoa	The Book of Disquiet	And, like the great damned souls, I shall always feel that thinking is worth more than living.
Fernando Pessoa	The Education of the Stoic: The Only Manuscript of the Baron of Teive	At first I felt dizzy - not with the kind of dizziness that makes the body reel but the kind that's like a dead emptiness in the brain, an instinctive awareness of the void.
Fernando Pessoa	The Book of Disquiet	...the painful intensity of my sensations, even when they're happy ones; the blissful intensity of my sensations, even when they're sad.
Fernando Pessoa		I Know, I Alone I know, I aloneHow much it hurts, this heartWith no faith nor lawNor melody nor thought.Only I, only IAnd none of this can I sayBecause feeling is like the sky -Seen, nothing in it to see.
Fernando Pessoa	Poems of Fernando Pessoa	If after I die, people want to write my biography, there is nothing simpler. They only need two dates: the date of my birth and the date of my death. Between one and another, every day is mine.
Fernando Pessoa	The Book of Disquiet	I'm sick of everything, and of the everythingness of everything.
Fernando Pessoa	The Book of Disquiet	Life is an experimental journey undertaken involuntarily. It is a journey of the spirit through the material world and, since it is the spirit that travels, it is the spirit that is experienced. That is why there exist contemplative souls who have lived more intensely, more widely, more tumultuously than others who have lived their lives purely externally.
Fernando Pessoa		We all have two lives: The true, the one we dreamed of in childhood And go on dreaming of as adults in a substratum of mist; the false, the one we love when we live with others, the practical, the useful, the one we end up by being put in a coffin.
Robert Kurvitz		There is nothing. Only warm, primordial blackness. Your conscience ferments in it — no larger than a single grain of malt. You don't have to do anything anymore. Ever. Never ever.An inordinate amount of time passes. It is utterly void of struggle. No ex-wives are contained within it[...] The song of death is sweet and endless... But what is this? Somewhere in the sore, bloated *man-meat* around you — a sensation![...] The limbed and headed machine of pain and undignified suffering is firing up again. It wants to walk the desert. Hurting. Longing. Dancing to disco music.
Robert Kurvitz	Püha ja õudne lõhn	Failure. Failure shapes the world. History is the story of failure; progress is the succession of failures. Development! says the futurist. Loss, states the rebel. Hangover! cries the moralist from the back row. Faliure: the rebel gets angry. Time is pale, he says. The failure of the Creator - an introduction to an era. Kras Mazov shoots himself in the head, and Abadanaiz, together with Dobreva, takes poison on the Ozonne Islands. Beneath the palms the wind blew the flesh from their bones into sand. Who could've known? All the good people in the world came together. Teachers, writers, migrant workers squatting in the trenches... young soldiers abandoned their battalions. What beautiful songs they sing! It seems to them that brave children are the favourites of history, as they wave white flags with a crown of silver horns.And then, they lose.
Robert Kurvitz		Don’t do it. Just do something normal with your life. Go work first, go to a studio that’s already there, that’s already nice and produced. Don’t make your own studio. My second suggestion would be that if you absolutely, totally feel like you’re going to be a bum, that you’re not going to pay your rent and you’re going to lose your apartment and you have to do something, and then your friends happen to want to make a video game – as it was in my case – if it feels like an existential must and you will die if you don’t make it… then definitely do it, because it’s very much possible, I think. You have to be really… it has to be scary how much you want to do it, because it’s very hard.
Robert Kurvitz	Sacred and Terrible Air	The terrible noise of time approaches, the most violent sound in the world. There is no longer a golden light that falls on the room, but a very deep Pale. All the distances there are insurmountable, there is a horror vacui between every object and the next.
Robert Kurvitz	Sacred and Terrible Air	Communism is powerful! Believe in Communism, it’s a burst of enthusiasm! I promise! It’s beautiful when you believe in a person, but without it…!''Without it, there is nothing.''Nothing. It was a blizzard, but it was bright, it was morning. Communism is white, it sparkles! Communism is the morning, it is a jubilation!
Robert Kurvitz	Püha ja õudne lõhn	No peace. No truce with the furies.
Robert Kurvitz	Sacred and Terrible Air	I’ve never been too fond of that wing of materialism. Terrible if they were right. I love the world, every last atom of it. But if the world doesn’t love our idea anymore, you and Rodionov will be second best.
Robert Kurvitz		Technically the most impressive, however, is the story of the fall from grace of Ignus Nielsen – a prophet and Mazov’s schoolteacher. Despite being a noteworthy figure in the history of the communist movement, he became a disembodied spirit in the hands of the Vaasa censors. Mazov’s apocalyptic bloodthirsty character suddenly became somehow burdensome for the image of the social democratic Nordic countries. So they concocted Nielsen’s disappearance with Graad, following the newly defeated revolution. To the dismay of the censors, dozens of hours of film material were shot of Mazov during the technically advanced Eleven-Day Government, where the revolutionary icon was almost always accompanied by his best friend and comrade-in-arms, Nielsen. Destroying all the material would have raised suspicions. And so it was that an elliptical grey cytoplasm hovers permanently to Mazov’s right. It took historians decades to solve this eerie mystery.Even today, many believe that the cytoplasm is Communism itself.
Robert Kurvitz	Sacred and Terrible Air	We love the girls—yes, I dare say it—we love them more. Even this present moment, the evening city gliding past the taxi window, where the world is going wrong and time is out of joint, is a crime. This needs to be righted. To be solved. No peace. No truce with the furies!
Robert Kurvitz	Püha ja õudne lõhn	You could never quite say exactly what it is. Even when your eyes were rolled back and staring straight into your head, you couldn’t say. I give her to you to take, her smell in your hands, a sacred and terrible smell; now rub your face with her.
Robert Kurvitz	Sacred and Terrible Air	In the dark autumn evening sky above, masses of cloudsslowly sink into each other.
Jorge Luis Borges		I have always imagined that Paradise will be a kind of library.
Jorge Luis Borges		I am not sure that I exist, actually. I am all the writers that I have read, all the people that I have met, all the women that I have loved; all the cities I have visited.
Jorge Luis Borges		I cannot sleep unless I am surrounded by books.
Jorge Luis Borges		Being with you and not being with you is the only way I have to measure time.
Jorge Luis Borges		Let others pride themselves about how many pages they have written; I'd rather boast about the ones I've read.
Jorge Luis Borges	Twenty-Four Conversations with Borges	A writer - and, I believe, generally all persons - must think that whatever happens to him or her is a resource. All things have been given to us for a purpose, and an artist must feel this more intensely. All that happens to us, including our humiliations, our misfortunes, our embarrassments, all is given to us as raw material, as clay, so that we may shape our art.
Jorge Luis Borges		To fall in love is to create a religion that has a fallible god.
Jorge Luis Borges		So plant your own gardens and decorate your own soul, instead of waiting for someone to bring you flowers.
Jorge Luis Borges		Don't talk unless you can improve the silence.
Jorge Luis Borges		I can give you my loneliness, my darkness, the hunger of my heart, I am trying to bribe you with uncertainty, with danger, with defeat.
Jorge Luis Borges	Labyrinths: Selected Stories & Other Writings	Time is the substance I am made of. Time is a river which sweeps me along, but I am the river; it is a tiger which destroys me, but I am the tiger; it is a fire which consumes me, but I am the fire.
Jorge Luis Borges		You have wakened not out of sleep, but into a prior dream, and that dream lies within another, and so on, to infinity, which is the number of grains of sand. The path that you are to take is endless, and you will die before you have truly awakened.
Jorge Luis Borges		The mind was dreaming. The world was its dream.
Jorge Luis Borges		Siempre imaginé que el Paraíso sería algún tipo de biblioteca.
Jorge Luis Borges		When writers die they become books, which is, after all, not too bad an incarnation.
Jorge Luis Borges		A book is more than a verbal structure or series of verbal structures; it is the dialogue it establishes with its reader and the intonation it imposes upon his voice and the changing and durable images it leaves in his memory. A book is not an isolated being: it is a relationship, an axis of innumerable relationships.
Jorge Luis Borges		Heaven and hell seem out of proportion to me: the actions of men do not deserve so much.
Jorge Luis Borges	Seven Nights	Personally, I am a hedonistic reader; I have never read a book merely because it was ancient. I read books for the aesthetic emotions they offer me, and I ignore the commentaries and criticism.
Jorge Luis Borges		Reality is not always probable, or likely.
